1;BANCO DO BRASIL S.A.
8;BANCO SANTANDER MERIDIONAL DO BRASIL
27;BANCO DO ESTADO DE SANTA CATARINA S.A.
33;BANCO SANTANDER
41;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A
79;PICPAY BANK
104;CAIXA ECONOMICA FEDERAL
121;BANCO AGIBANK SA
149;FACTA FINANCEIRA
155;AGENCIA BRADESCO 155
208;BANCO BTG PACTUAL
229;BANCO SICREDI-AGENCIA 229-LAGOA VERMELHA
237;BANCO BRASILEIRO DE DESCONTOS S.A.
254;PARANA BANCO S A
280;WILL FINANCEIRA SA
318;BANCO BMG S A
329;QI SOCIEDADE DE CREDITO DIRETO SA
335;BANCO DIGIO
341;BCO ITAU
342;BANCO CREDITAS
361;BCO.SICREDI - AGENCIA 361- IJUI - RS
373;BANCO UP.P
380;BANCO PICPAY
386;NU FINANCEIRA
389;BANCO MERCANTIL DO BRASIL S A
399;BRADESCO
409;UNIAO DE BANCOS BRASILEIROS S.A.
422;BANCO SAFRA SA
426;BANCO NEON
449;AGENCIA 449 BRADESCO SP
457;UY3 SOCIEDADE DE CREDITO DIRETO
479;BANKBOSTON
531;BMP MONEY PLUS
555;PAN FINANCEIRA
623;BANCO PAN S A
626;BANCO C6 CONSIGNADO S A
641;EXCEL ECONOMICO
644;321BANK SOCIEDADE DE CREDITO DIRETO SA
654;BANCO RENNER SA
741;BRP - BANCO RIBEIRAO PRETO S.A
745;BCO.CITIBANK- AGENCIA 023-FUNCHAL
748;BANCO SICREDI
756;BANCO COOPERATIVO SICOOB SA
797;BANCO BRASILEIRO DE DESCONTOS S.A.
903;BANCO INTER SA
908;PARATI CFI SA
935;FACTA FINANCEIRA SA
1222;BANCO SICREDI AG 1222 -VACARIA
1274;BCO.SICREDI AGENCIA 1274- STA. MARIA
1415;BCO.HSBC - AG- 1415- ESTEIO - RS
2270;AGENCIA BRADESCO 2270-5
2382;Ag Bradesco 2382-5
2659;AGENCIA BRADESCO 2659
2824;BANCO BRADESCO AG 28240 SAO CARLOS SP
2941;BANCO BRADESCO AGENCIA- 2941 - SANTA MARIA
3750;BANCO BRADESCO NEXT 3750
3980;AGENCIA 3980 BRADESCO
4499;AGENCIA 449 BRADESCO SP
4593;CAIXA FED AG 4593-4 COR VIVIDA-PR
7122;BCO.BRADESCO AGENCIA 7211-7 - RIO GRANDE
7160;AGENCIA 7160 BRADESCO NEXT
78511;BANCO BRADESCO PASSO FUNDO
85374;BANCO BRADESCO AG 0165 SAO PAULO
86060;BANCO BRADESCO AG 28240 SAO CARLOS SP
120382;BANCO BRADESCO NEXT 7160 SAO PAULO
127205;BANCO BRADESCO AG 3278 - SAO BORJA
4309106;AGENCIA 449 BRADESCO SP
